Time,Extension,Load
(s),(mm),(N)
"0.00000","162.52650","-1.75156"
"0.01000","162.52652","-1.74662"
"0.02000","162.52689","-1.72000"
"0.03000","162.52875","-1.66440"
"0.04000","162.53310","-1.61403"
"0.05000","162.53905","-1.54255"
"0.06000","162.54584","-1.44431"
"0.07000","162.55370","-1.32472"
"0.08000","162.56294","-1.18871"
"0.09000","162.57332","-1.04773"
"0.10000","162.58435","-0.91315"
"0.11000","162.59552","-0.77029"
"0.12000","162.60655","-0.62198"
"0.13000","162.61731","-0.47959"
"0.14000","162.62785","-0.35024"
"0.15000","162.63820","-0.22207"
"0.16000","162.64845","-0.09058"
"0.17000","162.65862","0.04391"
"0.18000","162.66876","0.17650"
"0.19000","162.67894","0.29867"
"0.20000","162.68916","0.41871"
"0.21000","162.69936","0.54460"
"0.22000","162.70949","0.66676"
"0.23000","162.71956","0.79064"
"0.24000","162.72961","0.91746"
"0.25000","162.73970","1.03964"
"0.26000","162.74974","1.16107"
"0.27000","162.75980","1.28201"
"0.28000","162.76984","1.40523"
"0.29000","162.77982","1.53045"
"0.30000","162.78976","1.65353"
"0.31000","162.79968","1.77393"
"0.32000","162.80966","1.89745"
"0.33000","162.81966","2.02338"
"0.34000","162.82964","2.14719"
"0.35000","162.83960","2.26720"
"0.36000","162.84961","2.39103"
"0.37000","162.85966","2.51310"
"0.38000","162.86975","2.63160"
"0.39000","162.87984","2.74701"
"0.40000","162.88989","2.86193"
"0.41000","162.89995","2.98162"
"0.42000","162.90996","3.10194"
"0.43000","162.91992","3.21618"
"0.44000","162.92990","3.33099"
"0.45000","162.93991","3.44969"
"0.46000","162.94991","3.56737"
"0.47000","162.95985","3.68082"
"0.48000","162.96982","3.79550"
"0.49000","162.97975","3.91209"
"0.50000","162.98969","4.02865"
"0.51000","162.99965","4.14135"
"0.52000","163.00960","4.25686"
"0.53000","163.01959","4.37888"
"0.54000","163.02960","4.49983"
"0.55000","163.03960","4.61623"
"0.56000","163.04961","4.72950"
"0.57000","163.05968","4.84678"
"0.58000","163.06978","4.96652"
"0.59000","163.07986","5.08402"
"0.60000","163.08987","5.19650"
"0.61000","163.09988","5.31024"
"0.62000","163.10991","5.42726"
"0.63000","163.11993","5.54273"
"0.64000","163.12993","5.65384"
"0.65000","163.13994","5.76603"
"0.66000","163.14992","5.87753"
"0.67000","163.15987","5.98596"
"0.68000","163.16975","6.09476"
"0.69000","163.17969","6.20686"
"0.70000","163.18965","6.32092"
"0.71000","163.19962","6.43247"
"0.72000","163.20959","6.54223"
"0.73000","163.21957","6.65511"
"0.74000","163.22958","6.77155"
"0.75000","163.23964","6.88618"
"0.76000","163.24969","6.99801"
"0.77000","163.25978","7.11226"
"0.78000","163.26984","7.22809"
"0.79000","163.27986","7.34403"
