Time,Extension,Load
(s),(mm),(N)
"0.00000","162.47990","-1.84994"
"0.01000","162.47997","-1.83946"
"0.02000","162.48128","-1.73929"
"0.03000","162.48781","-1.55260"
"0.04000","162.50232","-1.35905"
"0.05000","162.52275","-1.10186"
"0.06000","162.54692","-0.77844"
"0.07000","162.57401","-0.40415"
"0.08000","162.60352","0.00151"
"0.09000","162.63467","0.40525"
"0.10000","162.66658","0.79887"
"0.11000","162.69852","1.20088"
"0.12000","162.73016","1.61622"
"0.13000","162.76137","2.01855"
"0.14000","162.79213","2.39657"
"0.15000","162.82259","2.77323"
"0.16000","162.85287","3.14894"
"0.17000","162.88309","3.51996"
"0.18000","162.91331","3.89085"
"0.19000","162.94350","4.25173"
"0.20000","162.97362","4.61025"
"0.21000","163.00365","4.97110"
"0.22000","163.03365","5.32717"
"0.23000","163.06369","5.67990"
"0.24000","163.09378","6.03296"
"0.25000","163.12389","6.37949"
"0.26000","163.15398","6.72554"
"0.27000","163.18398","7.08151"
"0.28000","163.21393","7.43868"
"0.29000","163.24390","7.79700"
"0.30000","163.27391","8.14674"
"0.31000","163.30402","8.48211"
"0.32000","163.33411","8.82050"
"0.33000","163.36411","9.17195"
"0.34000","163.39403","9.51409"
"0.35000","163.42397","9.85382"
"0.36000","163.45398","10.19860"
"0.37000","163.48405","10.53721"
"0.38000","163.51411","10.87327"
"0.39000","163.54410","11.20975"
"0.40000","163.57402","11.53899"
"0.41000","163.60396","11.87088"
"0.42000","163.63393","12.20162"
"0.43000","163.66397","12.53357"
"0.44000","163.69402","12.86915"
"0.45000","163.72400","13.20490"
"0.46000","163.75392","13.53581"
"0.47000","163.78383","13.86913"
"0.48000","163.81383","14.20247"
"0.49000","163.84390","14.53325"
"0.50000","163.87399","14.86279"
"0.51000","163.90405","15.19076"
"0.52000","163.93404","15.51770"
"0.53000","163.96397","15.85225"
"0.54000","163.99396","16.18569"
"0.55000","164.02402","16.50527"
"0.56000","164.05408","16.81930"
"0.57000","164.08414","17.13541"
"0.58000","164.11409","17.45529"
"0.59000","164.14401","17.77460"
"0.60000","164.17395","18.08304"
"0.61000","164.20396","18.38936"
"0.62000","164.23405","18.70683"
"0.63000","164.26413","19.02547"
"0.64000","164.29411","19.33933"
"0.65000","164.32404","19.64885"
"0.66000","164.35397","19.95482"
"0.67000","164.38396","20.25827"
"0.68000","164.41403","20.57078"
"0.69000","164.44411","20.87959"
"0.70000","164.47412","21.18651"
"0.71000","164.50406","21.49535"
"0.72000","164.53397","21.80593"
"0.73000","164.56393","22.11589"
"0.74000","164.59399","22.42809"
"0.75000","164.62408","22.73573"
"0.76000","164.65411","23.03870"
"0.77000","164.68408","23.34298"
"0.78000","164.71400","23.64961"
"0.79000","164.74397","23.95533"
"0.80000","164.77402","24.25978"
"0.81000","164.80409","24.55818"
"0.82000","164.83412","24.86341"
"0.83000","164.86409","25.17235"
"0.84000","164.89400","25.47165"
"0.85000","164.92392","25.76375"
"0.86000","164.95393","26.05834"
"0.87000","164.98401","26.35529"
"0.88000","165.01405","26.65056"
"0.89000","165.04405","26.94571"
"0.90000","165.07396","27.23813"
"0.91000","165.10388","27.53085"
"0.92000","165.13387","27.82604"
"0.93000","165.16391","28.12219"
"0.94000","165.19394","28.41443"
"0.95000","165.22395","28.70903"
"0.96000","165.25391","29.00567"
"0.97000","165.28386","29.30405"
"0.98000","165.31386","29.59986"
"0.99000","165.34392","29.89604"
"1.00000","165.37401","30.19395"
"1.01000","165.40405","30.48657"
"1.02000","165.43404","30.77124"
"1.03000","165.46397","31.06019"
"1.04000","165.49396","31.35319"
"1.05000","165.52402","31.63914"
"1.06000","165.55411","31.91853"
"1.07000","165.58414","32.20056"
"1.08000","165.61409","32.48293"
"1.09000","165.64400","32.76483"
"1.10000","165.67392","33.04351"
"1.11000","165.70395","33.32051"
"1.12000","165.73401","33.59807"
"1.13000","165.76407","33.87673"
"1.14000","165.79405","34.15455"
"1.15000","165.82397","34.43386"
"1.16000","165.85391","34.71127"
"1.17000","165.88390","34.98803"
"1.18000","165.91394","35.26756"
"1.19000","165.94398","35.54614"
"1.20000","165.97400","35.82288"
"1.21000","166.00395","36.10109"
"1.22000","166.03392","36.37840"
"1.23000","166.06393","36.65667"
"1.24000","166.09401","36.93668"
"1.25000","166.12408","37.21187"
"1.26000","166.15410","37.48090"
"1.27000","166.18405","37.75140"
"1.28000","166.21397","38.02501"
"1.29000","166.24394","38.29935"
"1.30000","166.27400","38.56771"
"1.31000","166.30408","38.82946"
"1.32000","166.33414","39.09401"
"1.33000","166.36412","39.36067"
"1.34000","166.39404","39.62592"
"1.35000","166.42400","39.88646"
"1.36000","166.45401","40.15083"
"1.37000","166.48407","40.41431"
"1.38000","166.51414","40.67826"
"1.39000","166.54414","40.94386"
"1.40000","166.57407","41.21107"
"1.41000","166.60399","41.47896"
"1.42000","166.63399","41.74756"
"1.43000","166.66405","42.01532"
"1.44000","166.69412","42.28332"
"1.45000","166.72414","42.54670"
"1.46000","166.75406","42.81238"
"1.47000","166.78397","43.07583"
"1.48000","166.81396","43.33930"
"1.49000","166.84401","43.60402"
"1.50000","166.87408","43.86839"
"1.51000","166.90413","44.13016"
"1.52000","166.93407","44.38962"
"1.53000","166.96400","44.65222"
"1.54000","166.99397","44.91827"
"1.55000","167.02402","45.17810"
"1.56000","167.05409","45.43354"
"1.57000","167.08409","45.69189"
"1.58000","167.11403","45.95315"
"1.59000","167.14392","46.21589"
"1.60000","167.17386","46.47692"
"1.61000","167.20389","46.73734"
"1.62000","167.23398","46.99654"
"1.63000","167.26405","47.25763"
"1.64000","167.29405","47.51731"
