Time,Extension,Load
(s),(mm),(N)
"0.00000","162.47954","-1.62083"
"0.01000","162.47958","-1.61149"
"0.02000","162.48091","-1.52084"
"0.03000","162.48743","-1.34016"
"0.04000","162.50195","-1.14805"
"0.05000","162.52237","-0.88941"
"0.06000","162.54654","-0.56666"
"0.07000","162.57362","-0.19064"
"0.08000","162.60313","0.21673"
"0.09000","162.63428","0.62528"
"0.10000","162.66618","1.02242"
"0.11000","162.69812","1.42638"
"0.12000","162.72977","1.84310"
"0.13000","162.76097","2.24382"
"0.14000","162.79178","2.62186"
"0.15000","162.82222","3.00123"
"0.16000","162.85249","3.37658"
"0.17000","162.88272","3.74799"
"0.18000","162.91292","4.11808"
"0.19000","162.94312","4.48104"
"0.20000","162.97324","4.84227"
"0.21000","163.00328","5.20048"
"0.22000","163.03329","5.55074"
"0.23000","163.06332","5.90462"
"0.24000","163.09340","6.26516"
"0.25000","163.12352","6.61866"
"0.26000","163.15361","6.96390"
"0.27000","163.18361","7.31179"
"0.28000","163.21356","7.66370"
"0.29000","163.24353","8.01830"
"0.30000","163.27357","8.36355"
"0.31000","163.30367","8.69535"
"0.32000","163.33374","9.03913"
"0.33000","163.36375","9.39390"
"0.34000","163.39368","9.73484"
"0.35000","163.42361","10.06987"
"0.36000","163.45361","10.41334"
"0.37000","163.48367","10.75358"
"0.38000","163.51373","11.09131"
"0.39000","163.54373","11.42620"
"0.40000","163.57365","11.76337"
"0.41000","163.60358","12.10192"
"0.42000","163.63356","12.43662"
"0.43000","163.66359","12.77128"
"0.44000","163.69365","13.10787"
"0.45000","163.72365","13.44422"
"0.46000","163.75359","13.77309"
"0.47000","163.78349","14.09928"
"0.48000","163.81349","14.43032"
"0.49000","163.84354","14.76457"
"0.50000","163.87363","15.09563"
"0.51000","163.90367","15.41444"
"0.52000","163.93364","15.73241"
"0.53000","163.96356","16.06387"
"0.54000","163.99353","16.39898"
"0.55000","164.02357","16.71853"
"0.56000","164.05365","17.03057"
"0.57000","164.08372","17.34802"
"0.58000","164.11369","17.67133"
"0.59000","164.14362","17.99047"
"0.60000","164.17357","18.29955"
"0.61000","164.20360","18.60898"
"0.62000","164.23369","18.92475"
"0.63000","164.26376","19.23901"
"0.64000","164.29376","19.55129"
"0.65000","164.32368","19.86259"
"0.66000","164.35361","20.17198"
"0.67000","164.38361","20.47966"
"0.68000","164.41368","20.78967"
"0.69000","164.44373","21.09591"
"0.70000","164.47372","21.40522"
"0.71000","164.50366","21.71595"
"0.72000","164.53358","22.02448"
"0.73000","164.56357","22.33141"
"0.74000","164.59364","22.64137"
"0.75000","164.62372","22.94695"
"0.76000","164.65376","23.24570"
"0.77000","164.68373","23.54580"
"0.78000","164.71365","23.85366"
"0.79000","164.74362","24.16104"
"0.80000","164.77364","24.46296"
"0.81000","164.80371","24.75765"
"0.82000","164.83377","25.05929"
"0.83000","164.86374","25.36605"
"0.84000","164.89365","25.66963"
"0.85000","164.92355","25.96830"
"0.86000","164.95355","26.26613"
"0.87000","164.98361","26.56473"
"0.88000","165.01367","26.86221"
"0.89000","165.04366","27.15972"
"0.90000","165.07359","27.45494"
"0.91000","165.10353","27.74929"
"0.92000","165.13350","28.04339"
"0.93000","165.16354","28.33687"
"0.94000","165.19359","28.63022"
"0.95000","165.22359","28.92280"
"0.96000","165.25352","29.21538"
"0.97000","165.28346","29.50857"
"0.98000","165.31346","29.80229"
"0.99000","165.34352","30.09493"
"1.00000","165.37361","30.38645"
"1.01000","165.40367","30.67500"
"1.02000","165.43362","30.96242"
"1.03000","165.46358","31.25245"
"1.04000","165.49359","31.54125"
"1.05000","165.52365","31.82624"
"1.06000","165.55373","32.10659"
"1.07000","165.58374","32.39174"
"1.08000","165.61371","32.67933"
"1.09000","165.64362","32.96441"
"1.10000","165.67357","33.24310"
"1.11000","165.70360","33.52257"
"1.12000","165.73366","33.80420"
"1.13000","165.76372","34.08289"
"1.14000","165.79370","34.35967"
"1.15000","165.82362","34.63463"
"1.16000","165.85355","34.91105"
"1.17000","165.88354","35.18719"
"1.18000","165.91357","35.46123"
"1.19000","165.94363","35.73563"
"1.20000","165.97365","36.01220"
"1.21000","166.00360","36.29116"
"1.22000","166.03354","36.56765"
"1.23000","166.06354","36.84020"
"1.24000","166.09360","37.11190"
"1.25000","166.12369","37.38696"
"1.26000","166.15373","37.65981"
"1.27000","166.18370","37.92797"
"1.28000","166.21362","38.19648"
"1.29000","166.24359","38.46744"
"1.30000","166.27362","38.73782"
"1.31000","166.30371","39.00467"
"1.32000","166.33376","39.26807"
"1.33000","166.36372","39.53170"
"1.34000","166.39366","39.79934"
"1.35000","166.42360","40.06635"
"1.36000","166.45361","40.33292"
"1.37000","166.48369","40.59781"
"1.38000","166.51375","40.86341"
"1.39000","166.54373","41.13288"
"1.40000","166.57365","41.40042"
"1.41000","166.60359","41.66622"
"1.42000","166.63359","41.92914"
"1.43000","166.66367","42.19261"
"1.44000","166.69373","42.45560"
"1.45000","166.72372","42.71590"
"1.46000","166.75368","42.97994"
"1.47000","166.78360","43.24436"
"1.48000","166.81360","43.50820"
"1.49000","166.84366","43.77258"
"1.50000","166.87372","44.03668"
"1.51000","166.90375","44.29939"
"1.52000","166.93370","44.56271"
"1.53000","166.96362","44.82802"
"1.54000","166.99361","45.09739"
"1.55000","167.02365","45.35926"
"1.56000","167.05368","45.61335"
"1.57000","167.08369","45.87215"
"1.58000","167.11363","46.13911"
"1.59000","167.14352","46.40513"
"1.60000","167.17346","46.66396"
"1.61000","167.20351","46.92027"
"1.62000","167.23360","47.17854"
"1.63000","167.26369","47.43890"
"1.64000","167.29372","47.69549"
"1.65000","167.32365","47.95399"
"1.66000","167.35359","48.21774"
"1.67000","167.38358","48.47755"
"1.68000","167.41365","48.73663"
"1.69000","167.44373","48.99332"
"1.70000","167.47374","49.24986"
"1.71000","167.50368","49.50954"
"1.72000","167.53358","49.77110"
