Time,Extension,Load
(s),(mm),(N)
"0.00000","162.52698","-1.98054"
"0.01000","162.52702","-1.96858"
"0.02000","162.52834","-1.87692"
"0.03000","162.53490","-1.69713"
"0.04000","162.54950","-1.50628"
"0.05000","162.57005","-1.24650"
"0.06000","162.59433","-0.91943"
"0.07000","162.62144","-0.54516"
"0.08000","162.65092","-0.13690"
"0.09000","162.68207","0.26989"
"0.10000","162.71397","0.66394"
"0.11000","162.74594","1.06348"
"0.12000","162.77751","1.47275"
"0.13000","162.80861","1.86861"
"0.14000","162.83929","2.24400"
"0.15000","162.86978","2.61886"
"0.16000","162.90013","2.99731"
"0.17000","162.93044","3.36601"
"0.18000","162.96062","3.72714"
"0.19000","162.99072","4.08403"
"0.20000","163.02075","4.44110"
"0.21000","163.05078","4.79640"
"0.22000","163.08087","5.14218"
"0.23000","163.11101","5.49189"
"0.24000","163.14111","5.84999"
"0.25000","163.17117","6.20507"
"0.26000","163.20114","6.55238"
"0.27000","163.23111","6.89500"
"0.28000","163.26111","7.24251"
"0.29000","163.29118","7.59737"
"0.30000","163.32129","7.94476"
"0.31000","163.35133","8.28243"
"0.32000","163.38127","8.62365"
"0.33000","163.41119","8.97646"
"0.34000","163.44116","9.32038"
"0.35000","163.47121","9.65703"
"0.36000","163.50130","9.99883"
"0.37000","163.53131","10.34439"
"0.38000","163.56125","10.68162"
"0.39000","163.59116","11.01194"
"0.40000","163.62112","11.34231"
"0.41000","163.65115","11.68121"
"0.42000","163.68121","12.01786"
"0.43000","163.71123","12.34764"
"0.44000","163.74117","12.67790"
"0.45000","163.77109","13.01366"
"0.46000","163.80106","13.34373"
"0.47000","163.83112","13.66882"
"0.48000","163.86122","13.99082"
"0.49000","163.89128","14.32003"
"0.50000","163.92128","14.65154"
"0.51000","163.95122","14.98010"
"0.52000","163.98117","15.29903"
"0.53000","164.01118","15.62369"
"0.54000","164.04126","15.95726"
"0.55000","164.07133","16.28042"
"0.56000","164.10133","16.59367"
"0.57000","164.13126","16.90712"
"0.58000","164.16118","17.22947"
"0.59000","164.19118","17.54881"
"0.60000","164.22122","17.86032"
"0.61000","164.25131","18.16884"
"0.62000","164.28136","18.48518"
"0.63000","164.31129","18.80277"
"0.64000","164.34120","19.11084"
"0.65000","164.37117","19.41746"
"0.66000","164.40121","19.72699"
"0.67000","164.43130","20.03395"
"0.68000","164.46135","20.33907"
"0.69000","164.49130","20.64235"
"0.70000","164.52121","20.95244"
"0.71000","164.55116","21.26255"
"0.72000","164.58119","21.56993"
"0.73000","164.61127","21.87388"
"0.74000","164.64134","22.18322"
"0.75000","164.67133","22.49002"
"0.76000","164.70125","22.79141"
"0.77000","164.73119","23.09006"
"0.78000","164.76120","23.39698"
"0.79000","164.79128","23.71213"
"0.80000","164.82135","24.02026"
"0.81000","164.85136","24.31941"
"0.82000","164.88129","24.62132"
"0.83000","164.91119","24.92662"
"0.84000","164.94116","25.22619"
"0.85000","164.97122","25.51628"
"0.86000","165.00130","25.81127"
"0.87000","165.03131","26.11066"
"0.88000","165.06125","26.40871"
"0.89000","165.09116","26.70376"
"0.90000","165.12111","26.99748"
"0.91000","165.15112","27.28995"
"0.92000","165.18117","27.58043"
"0.93000","165.21120","27.86847"
"0.94000","165.24118","28.15934"
"0.95000","165.27112","28.45549"
"0.96000","165.30107","28.75146"
"0.97000","165.33112","29.04531"
"0.98000","165.36118","29.33523"
"0.99000","165.39125","29.62864"
"1.00000","165.42125","29.92622"
"1.01000","165.45120","30.22168"
"1.02000","165.48117","30.51147"
"1.03000","165.51118","30.80164"
"1.04000","165.54128","31.08942"
"1.05000","165.57133","31.37500"
"1.06000","165.60132","31.66372"
"1.07000","165.63124","31.95201"
"1.08000","165.66115","32.23838"
"1.09000","165.69113","32.52571"
"1.10000","165.72119","32.80746"
"1.11000","165.75127","33.08196"
"1.12000","165.78130","33.35594"
"1.13000","165.81122","33.63448"
"1.14000","165.84114","33.91671"
"1.15000","165.87111","34.19995"
"1.16000","165.90114","34.47197"
"1.17000","165.93121","34.73837"
"1.18000","165.96126","35.01252"
"1.19000","165.99121","35.29029"
"1.20000","166.02115","35.56491"
