Time,Extension,Load
(s),(mm),(N)
"0.00000","162.43529","-2.19425"
"0.01000","162.43530","-2.18998"
"0.02000","162.43568","-2.16650"
"0.03000","162.43756","-2.10752"
"0.04000","162.44189","-2.05431"
"0.05000","162.44774","-1.98724"
"0.06000","162.45432","-1.89046"
"0.07000","162.46198","-1.77435"
"0.08000","162.47115","-1.64229"
"0.09000","162.48161","-1.50373"
"0.10000","162.49284","-1.37140"
"0.11000","162.50426","-1.23210"
"0.12000","162.51549","-1.08255"
"0.13000","162.52638","-0.93551"
"0.14000","162.53696","-0.80135"
"0.15000","162.54735","-0.67126"
"0.16000","162.55763","-0.54025"
"0.17000","162.56786","-0.40848"
"0.18000","162.57802","-0.27692"
"0.19000","162.58812","-0.14742"
"0.20000","162.59818","-0.01999"
"0.21000","162.60822","0.10914"
"0.22000","162.61824","0.23691"
"0.23000","162.62823","0.36596"
"0.24000","162.63826","0.49863"
"0.25000","162.64828","0.62258"
"0.26000","162.65833","0.74178"
"0.27000","162.66835","0.86665"
"0.28000","162.67844","0.99370"
"0.29000","162.68857","1.12101"
"0.30000","162.69870","1.24281"
"0.31000","162.70874","1.35969"
"0.32000","162.71877","1.48310"
"0.33000","162.72878","1.60726"
"0.34000","162.73878","1.72615"
"0.35000","162.74879","1.84026"
"0.36000","162.75882","1.95743"
"0.37000","162.76881","2.07687"
"0.38000","162.77878","2.19744"
"0.39000","162.78870","2.31622"
"0.40000","162.79858","2.43572"
"0.41000","162.80852","2.55833"
"0.42000","162.81851","2.68222"
"0.43000","162.82848","2.79896"
"0.44000","162.83844","2.92039"
"0.45000","162.84843","3.04500"
"0.46000","162.85847","3.16790"
"0.47000","162.86855","3.28890"
"0.48000","162.87863","3.41002"
"0.49000","162.88870","3.53355"
"0.50000","162.89874","3.65823"
"0.51000","162.90877","3.77305"
"0.52000","162.91875","3.88490"
"0.53000","162.92871","4.00116"
"0.54000","162.93872","4.12049"
"0.55000","162.94872","4.23234"
"0.56000","162.95869","4.33897"
"0.57000","162.96864","4.45166"
"0.58000","162.97861","4.57027"
"0.59000","162.98857","4.68633"
"0.60000","162.99852","4.79510"
"0.61000","163.00848","4.90638"
"0.62000","163.01846","5.02359"
"0.63000","163.02846","5.14227"
"0.64000","163.03845","5.25690"
"0.65000","163.04846","5.37126"
"0.66000","163.05853","5.48820"
"0.67000","163.06863","5.60845"
"0.68000","163.07870","5.72517"
"0.69000","163.08876","5.84034"
"0.70000","163.09877","5.95662"
"0.71000","163.10878","6.07424"
"0.72000","163.11879","6.18888"
"0.73000","163.12880","6.30332"
"0.74000","163.13879","6.41735"
"0.75000","163.14877","6.53040"
"0.76000","163.15874","6.63642"
"0.77000","163.16862","6.74557"
"0.78000","163.17853","6.86071"
"0.79000","163.18849","6.97663"
"0.80000","163.19846","7.08509"
"0.81000","163.20840","7.19187"
"0.82000","163.21840","7.30391"
"0.83000","163.22841","7.41907"
"0.84000","163.23846","7.52958"
"0.85000","163.24855","7.63732"
"0.86000","163.25862","7.74841"
