Time,Extension,Load
(s),(mm),(N)
"0.00000","162.43481","0.02818"
"0.01000","162.43491","0.04095"
"0.02000","162.43718","0.20807"
"0.03000","162.44850","0.51272"
"0.04000","162.47316","0.84802"
"0.05000","162.50792","1.29172"
"0.06000","162.54922","1.84728"
"0.07000","162.59537","2.48198"
"0.08000","162.64516","3.16123"
"0.09000","162.69727","3.83484"
"0.10000","162.75024","4.48663"
"0.11000","162.80304","5.14633"
"0.12000","162.85518","5.81872"
"0.13000","162.90666","6.46766"
"0.14000","162.95761","7.08264"
"0.15000","163.00816","7.69230"
"0.16000","163.05853","8.29999"
"0.17000","163.10881","8.89840"
"0.18000","163.15904","9.49625"
"0.19000","163.20920","10.08720"
"0.20000","163.25934","10.67481"
"0.21000","163.30951","11.26420"
"0.22000","163.35963","11.83833"
"0.23000","163.40970","12.41542"
"0.24000","163.45975","13.00117"
"0.25000","163.50980","13.57296"
"0.26000","163.55983","14.13123"
"0.27000","163.60983","14.69844"
"0.28000","163.65985","15.27045"
"0.29000","163.70988","15.84105"
"0.30000","163.75984","16.40128"
"0.31000","163.80981","16.95548"
"0.32000","163.85986","17.51473"
"0.33000","163.90991","18.07567"
"0.34000","163.95992","18.62406"
"0.35000","164.00995","19.16430"
"0.36000","164.05997","19.70895"
"0.37000","164.10997","20.25157"
"0.38000","164.15994","20.78839"
"0.39000","164.20995","21.32489"
"0.40000","164.25996","21.85682"
"0.41000","164.30998","22.39124"
"0.42000","164.35997","22.92224"
"0.43000","164.40999","23.44289"
"0.44000","164.46004","23.97239"
"0.45000","164.51001","24.50813"
"0.46000","164.56000","25.02864"
"0.47000","164.61003","25.54264"
"0.48000","164.66003","26.06462"
"0.49000","164.71004","26.59378"
"0.50000","164.76004","27.11591"
"0.51000","164.81007","27.62196"
"0.52000","164.86008","28.12770"
"0.53000","164.91002","28.64520"
"0.54000","164.95998","29.16386"
"0.55000","165.00996","29.66420"
"0.56000","165.05992","30.16011"
"0.57000","165.10991","30.66493"
"0.58000","165.15993","31.17280"
"0.59000","165.20995","31.67621"
"0.60000","165.25993","32.17192"
"0.61000","165.30991","32.66872"
"0.62000","165.35991","33.17287"
"0.63000","165.40994","33.67105"
"0.64000","165.45995","34.16062"
"0.65000","165.50996","34.65213"
"0.66000","165.56001","35.14399"
"0.67000","165.61000","35.63212"
"0.68000","165.65996","36.11845"
"0.69000","165.70998","36.60252"
"0.70000","165.75999","37.08329"
"0.71000","165.80998","37.56717"
"0.72000","165.85997","38.04632"
"0.73000","165.90997","38.52468"
"0.74000","165.95998","39.00446"
"0.75000","166.00995","39.48254"
"0.76000","166.05994","39.95370"
"0.77000","166.10997","40.42778"
"0.78000","166.15999","40.90329"
"0.79000","166.20999","41.37998"
"0.80000","166.26003","41.84985"
"0.81000","166.31006","42.31572"
"0.82000","166.36008","42.78645"
"0.83000","166.41008","43.25770"
"0.84000","166.46007","43.72211"
"0.85000","166.51009","44.18081"
"0.86000","166.56007","44.64296"
"0.87000","166.61006","45.10598"
"0.88000","166.66008","45.56428"
"0.89000","166.71011","46.02206"
"0.90000","166.76009","46.47877"
"0.91000","166.81006","46.93626"
"0.92000","166.86006","47.39174"
"0.93000","166.91003","47.84503"
"0.94000","166.96001","48.30312"
"0.95000","167.00999","48.76303"
"0.96000","167.06001","49.21803"
"0.97000","167.11000","49.66785"
"0.98000","167.15996","50.12150"
"0.99000","167.20996","50.57661"
"1.00000","167.25999","51.02604"
"1.01000","167.30998","51.47023"
"1.02000","167.35999","51.91576"
"1.03000","167.41000","52.36157"
"1.04000","167.46001","52.80907"
"1.05000","167.51001","53.25046"
"1.06000","167.55998","53.68811"
"1.07000","167.61000","54.12907"
"1.08000","167.66002","54.57074"
"1.09000","167.71001","55.00827"
"1.10000","167.76003","55.44264"
"1.11000","167.81009","55.87694"
"1.12000","167.86011","56.31642"
"1.13000","167.91010","56.75331"
"1.14000","167.96011","57.18377"
"1.15000","168.01015","57.61526"
"1.16000","168.06012","58.05246"
"1.17000","168.11009","58.48632"
"1.18000","168.16006","58.91694"
"1.19000","168.21005","59.34651"
"1.20000","168.26004","59.77833"
"1.21000","168.31004","60.20783"
"1.22000","168.36009","60.63469"
"1.23000","168.41014","61.06010"
"1.24000","168.46014","61.48683"
"1.25000","168.51015","61.91450"
"1.26000","168.56015","62.33682"
"1.27000","168.61009","62.76189"
"1.28000","168.66000","63.19044"
"1.29000","168.70993","63.61678"
"1.30000","168.75989","64.04005"
"1.31000","168.80983","64.46594"
"1.32000","168.85980","64.89303"
"1.33000","168.90985","65.32063"
"1.34000","168.95992","65.74373"
"1.35000","169.00998","66.16766"
"1.36000","169.06004","66.59644"
"1.37000","169.11009","67.02176"
"1.38000","169.16010","67.44376"
"1.39000","169.21007","67.86964"
"1.40000","169.26003","68.29675"
"1.41000","169.31001","68.72320"
"1.42000","169.36002","69.14519"
"1.43000","169.40999","69.56485"
"1.44000","169.46001","69.98528"
"1.45000","169.51006","70.40401"
"1.46000","169.56006","70.82234"
"1.47000","169.61003","71.23989"
"1.48000","169.66005","71.65930"
"1.49000","169.71007","72.07956"
"1.50000","169.76006","72.49746"
"1.51000","169.81006","72.91467"
"1.52000","169.86009","73.32945"
"1.53000","169.91011","73.74626"
"1.54000","169.96011","74.16459"
"1.55000","170.01009","74.58086"
"1.56000","170.06010","74.99755"
"1.57000","170.11008","75.41764"
"1.58000","170.15997","75.83586"
"1.59000","170.20992","76.25253"
"1.60000","170.25987","76.66774"
"1.61000","170.30983","77.08086"
"1.62000","170.35980","77.49744"
"1.63000","170.40984","77.91111"
"1.64000","170.45992","78.31799"
"1.65000","170.50992","78.72897"
"1.66000","170.55992","79.14178"
"1.67000","170.60997","79.54819"
"1.68000","170.65999","79.95036"
"1.69000","170.70998","80.35287"
"1.70000","170.75999","80.75694"
"1.71000","170.81001","81.15828"
"1.72000","170.86003","81.55824"
"1.73000","170.91003","81.95444"
"1.74000","170.96004","82.35363"
"1.75000","171.01006","82.75101"
"1.76000","171.06006","83.14648"
"1.77000","171.11003","83.54118"
"1.78000","171.16005","83.93486"
"1.79000","171.21005","84.32730"
"1.80000","171.26003","84.72198"
"1.81000","171.31001","85.11447"
"1.82000","171.36000","85.50459"
"1.83000","171.40996","85.89480"
"1.84000","171.45993","86.28681"
"1.85000","171.50993","86.67625"
"1.86000","171.56001","87.06664"
"1.87000","171.61008","87.45565"
"1.88000","171.66008","87.84017"
"1.89000","171.71008","88.22402"
"1.90000","171.76009","88.60702"
"1.91000","171.81003","88.99028"
"1.92000","171.86000","89.37257"
"1.93000","171.90999","89.75399"
"1.94000","171.95999","90.13395"
"1.95000","172.00998","90.51553"
"1.96000","172.05997","90.89815"
"1.97000","172.10999","91.27713"
"1.98000","172.16000","91.65550"
"1.99000","172.20998","92.03667"
"2.00000","172.25996","92.41711"
"2.01000","172.31003","92.79665"
"2.02000","172.36005","93.17422"
"2.03000","172.41006","93.55434"
"2.04000","172.46010","93.93291"
"2.05000","172.51012","94.30728"
"2.06000","172.56006","94.68195"
"2.07000","172.61002","95.06073"
"2.08000","172.65999","95.43387"
"2.09000","172.71001","95.80269"
"2.10000","172.75998","96.17334"
"2.11000","172.80998","96.54720"
"2.12000","172.86002","96.92020"
"2.13000","172.91002","97.29241"
"2.14000","172.95999","97.66599"
"2.15000","173.00999","98.03613"
"2.16000","173.06001","98.40659"
"2.17000","173.11003","98.77853"
"2.18000","173.16006","99.14573"
"2.19000","173.21010","99.50484"
"2.20000","173.26012","99.86095"
"2.21000","173.31010","100.21503"
"2.22000","173.36003","100.57079"
"2.23000","173.41002","100.93282"
"2.24000","173.45999","101.29543"
"2.25000","173.50995","101.65749"
"2.26000","173.55995","102.02245"
"2.27000","173.60997","102.38931"
"2.28000","173.65999","102.75446"
"2.29000","173.70998","103.11738"
"2.30000","173.75998","103.48428"
"2.31000","173.81000","103.84798"
"2.32000","173.85999","104.21173"
"2.33000","173.90996","104.57063"
"2.34000","173.95998","104.92885"
"2.35000","174.01001","105.28860"
"2.36000","174.06001","105.65037"
"2.37000","174.11002","106.01321"
"2.38000","174.16005","106.37222"
"2.39000","174.21007","106.72689"
"2.40000","174.26009","107.08293"
"2.41000","174.31009","107.43472"
"2.42000","174.36012","107.79064"
"2.43000","174.41014","108.15240"
"2.44000","174.46011","108.50838"
"2.45000","174.51009","108.85886"
"2.46000","174.56010","109.21340"
"2.47000","174.61009","109.57225"
"2.48000","174.66006","109.92833"
"2.49000","174.71005","110.27779"
"2.50000","174.76004","110.62216"
"2.51000","174.80998","110.97247"
"2.52000","174.85991","111.32487"
"2.53000","174.90991","111.67781"
"2.54000","174.95993","112.02364"
"2.55000","175.00993","112.36835"
"2.56000","175.05995","112.71393"
"2.57000","175.11000","113.06030"
"2.58000","175.16002","113.41228"
"2.59000","175.20999","113.75895"
"2.60000","175.25998","114.10358"
"2.61000","175.30998","114.45522"
"2.62000","175.36000","114.80107"
"2.63000","175.40999","115.14716"
"2.64000","175.46001","115.49538"
"2.65000","175.51004","115.84366"
"2.66000","175.56003","116.18961"
"2.67000","175.61000","116.53419"
"2.68000","175.66002","116.88148"
"2.69000","175.71001","117.22841"
"2.70000","175.75998","117.57668"
"2.71000","175.80995","117.92533"
"2.72000","175.85995","118.26926"
"2.73000","175.90999","118.61700"
"2.74000","175.95999","118.96442"
"2.75000","176.01004","119.30775"
"2.76000","176.06010","119.64806"
"2.77000","176.11017","119.98939"
"2.78000","176.16016","120.33250"
"2.79000","176.21014","120.67191"
"2.80000","176.26012","121.00871"
"2.81000","176.31003","121.35006"
"2.82000","176.35994","121.69186"
"2.83000","176.40988","122.03126"
"2.84000","176.45987","122.37188"
"2.85000","176.50984","122.70950"
"2.86000","176.55984","123.04984"
"2.87000","176.60994","123.38820"
"2.88000","176.66002","123.73091"
"2.89000","176.71005","124.07288"
"2.90000","176.76007","124.40914"
"2.91000","176.81012","124.74788"
